candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,generation_method,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,structure_path
6347162a103349a28b1be8fb_p04,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0c-,12.0,rocksalt,rocksalt,I-4,native Glazer generator v1,164.33982190699302,11.073418124154255,2.016819843633792,0.020045725147154088,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p04.cif
6347162a103349a28b1be8fb_p05,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a-a-a-,6.0,rocksalt,rocksalt,R3,native Glazer generator v1,163.27292765074517,0.036981231257662416,2.0098455085673264,0.0013007360784800062,2.0075982227161653,step4/candidates/6347162a103349a28b1be8fb_p05.cif
6347162a103349a28b1be8fb_p06,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a-a-a-,12.0,rocksalt,rocksalt,R3,native Glazer generator v1,147.904586383159,0.2746014830978352,2.069104848488941,0.010018062200968837,2.051908527376844,step4/candidates/6347162a103349a28b1be8fb_p06.cif
6347162a103349a28b1be8fb_p07,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a-a-c+,6.0,rocksalt,rocksalt,Pc,native Glazer generator v1,163.2427326669727,0.021427874922864625,2.009923368436949,0.0012984159200799144,2.0075982227161653,step4/candidates/6347162a103349a28b1be8fb_p07.cif
6347162a103349a28b1be8fb_p08,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a-a-c+,12.0,rocksalt,rocksalt,Pc,native Glazer generator v1,147.68037821939575,0.15996160109567584,2.0702693995255577,0.009951391880610554,2.051908527376844,step4/candidates/6347162a103349a28b1be8fb_p08.cif
6347162a103349a28b1be8fb_p09,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0c+,6.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,172.04350774306172,5.626089629339306,1.995693375692958,0.0051070564036699686,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p09.cif
6347162a103349a28b1be8fb_p10,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0c+,12.0,rocksalt,rocksalt,P-4n2,native Glazer generator v1,164.33982190699302,11.073418124154255,2.016819843633792,0.020045725147154088,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p10.cif
6347162a103349a28b1be8fb_p11,6347162a103349a28b1be8fb,EuZnCrSbO6,63471629103349a28b1be8f9,blind_test,near_stable_0.05_0.10,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,native Glazer generator v1,180.0,0.0,1.9884709072630835,8.005932084973442e-16,1.9884709072630833,step4/candidates/6347162a103349a28b1be8fb_p11.cif
634702f6103349a28b1b525c_p01,634702f6103349a28b1b525c,SmTbAlCrO6,634702f5103349a28b1b525a,blind_test,stable_positive_control_le_0.03,original,original,original,original,Pc,MP parent,142.6960979090289,0.5920378902889115,2.0066890055096116,0.13023961154129024,1.8739777281466068,step4/candidates/634702f6103349a28b1b525c_p01.cif
634702f6103349a28b1b525c_p02,634702f6103349a28b1b525c,SmTbAlCrO6,634702f5103349a28b1b525a,blind_test,stable_positive_control_le_0.03,a0a0a0,0.0,rocksalt,rocksalt,F-43m,native Glazer generator v1,180.0,0.0,1.9007436110815743,1.4130832128153975e-15,1.9007436110815732,step4/candidates/634702f6103349a28b1b525c_p02.cif
634702f6103349a28b1b525c_p03,634702f6103349a28b1b525c,SmTbAlCrO6,634702f5103349a28b1b525a,blind_test,stable_positive_control_le_0.03,a0a0c-,6.0,rocksalt,rocksalt,I-4,native Glazer generator v1,172.04350774306178,5.62608962933928,1.9076474388791944,0.004881743451841472,1.9007436110815732,step4/candidates/634702f6103349a28b1b525c_p03.cif
634702f6103349a28b1b525c_p04,634702f6103349a28b1b525c,SmTbAlCrO6,634702f5103349a28b1b525a,blind_test,stable_positive_control_le_0.03,a0a0c-,12.0,rocksalt,rocksalt,I-4,native Glazer generator v1,164.33982190699302,11.073418124154243,1.927841849979999,0.019161348483289195,1.9007436110815732,step4/candidates/634702f6103349a28b1b525c_p04.cif
634702f6103349a28b1b525c_p05,634702f6103349a28b1b525c,SmTbAlCrO6,634702f5103349a28b1b525a,blind_test,stable_positive_control_le_0.03,a-a-a-,6.0,rocksalt,rocksalt,R3,native Glazer generator v1,163.27292765074517,0.036981231257662436,1.9211752084059601,0.00124335024557981,1.9190270682404367,step4/candidates/634702f6103349a28b1b525c_p05.cif
