candidate_id,material_id,composition,parent_structure_id,research_role,selection_category,dft_selection_role,tilt_pattern,nominal_tilt_deg,A_site_ordering,B_site_ordering,space_group,structure_path,ensemble_mean,ensemble_std,parent_decomposition_energy_per_atom,actual_bob_mean_deg,actual_bob_std_deg,bo_length_mean_ang,bo_length_std_ang,minimum_distance_ang,prediction_seed_123,prediction_seed_2026,prediction_seed_3407,prediction_seed_42,prediction_seed_7777
634710ef660f1387211bb457_p07,634710ef660f1387211bb457,MgSmCuSiO6,634710ef660f1387211bb456,development,unstable_negative_control_gt_0.20,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/634710ef660f1387211bb457_p07.cif,0.2046774983406067,0.008865748532116413,0.211729,163.24273266697267,0.021427874922883047,1.8712091590225768,0.001208806166457665,1.8690444824796224,0.1922491192817688,0.20124810934066772,0.21412913501262665,0.2122582346200943,0.20350289344787598
634710ef660f1387211bb457_p05,634710ef660f1387211bb457,MgSmCuSiO6,634710ef660f1387211bb456,development,unstable_negative_control_gt_0.20,gnn_highest_uncertainty,a-a-a-,6.0,rocksalt,rocksalt,R3,step4/candidates/634710ef660f1387211bb457_p05.cif,0.21607568562030793,0.03694923222064972,0.211729,163.27292765074517,0.03698123125767115,1.871136672626605,0.001210966199878262,1.8690444824796224,0.19371868669986725,0.1961044818162918,0.22145846486091614,0.27842801809310913,0.19066877663135529
634710ef660f1387211bb457_p02,634710ef660f1387211bb457,MgSmCuSiO6,634710ef660f1387211bb456,development,unstable_negative_control_gt_0.20,random_control,a0a0a0,0.0,rocksalt,rocksalt,F-43m,step4/candidates/634710ef660f1387211bb457_p02.cif,0.41050730347633363,0.025395488366484642,0.211729,180.0,0.0,1.8512372324991642,2.7194799110210365e-16,1.8512372324991637,0.4145730137825012,0.373381108045578,0.39852145314216614,0.4293840825557709,0.43667685985565186
6347130f660f1387211bc0d3_p01,6347130f660f1387211bc0d3,SrTbLiWO6,6347130f660f1387211bc0d2,development,stable_positive_control_le_0.03,parent_reference,original,original,original,original,Pc,step4/candidates/6347130f660f1387211bc0d3_p01.cif,0.012556841969490052,0.0014211657689884305,0.00940281,152.94016267302376,0.1979543155844215,2.022919178738696,0.10602230703391706,1.9164163807017172,0.013291493058204651,0.011000752449035645,0.011152565479278564,0.013091415166854858,0.014247983694076538
6347130f660f1387211bc0d3_p07,6347130f660f1387211bc0d3,SrTbLiWO6,6347130f660f1387211bc0d2,development,stable_positive_control_le_0.03,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/6347130f660f1387211bc0d3_p07.cif,0.0404686227440834,0.010685594752430916,0.00940281,163.24273266697273,0.021427874922883883,1.987880624131308,0.0012841762477730388,1.9855809781849942,0.02822422981262207,0.03880643844604492,0.04236902296543121,0.05715707689523697,0.03578634560108185
6347130f660f1387211bc0d3_p05,6347130f660f1387211bc0d3,SrTbLiWO6,6347130f660f1387211bc0d2,development,stable_positive_control_le_0.03,gnn_highest_uncertainty,a-a-a-,6.0,rocksalt,rocksalt,R3,step4/candidates/6347130f660f1387211bc0d3_p05.cif,0.05643628835678101,0.025430548936128616,0.00940281,163.27292765074517,0.03698123125764362,1.9878036181475718,0.0012864709610943973,1.9855809781849942,0.03186972439289093,0.0446527898311615,0.09502159804105759,0.06860700994729996,0.042030319571495056
6347130f660f1387211bc0d3_p02,6347130f660f1387211bc0d3,SrTbLiWO6,6347130f660f1387211bc0d2,development,stable_positive_control_le_0.03,random_control,a0a0a0,0.0,rocksalt,rocksalt,F-43m,step4/candidates/6347130f660f1387211bc0d3_p02.cif,0.1455097332596779,0.02298627234995365,0.00940281,180.0,0.0,1.9666634311889617,3.8459253727671276e-16,1.9666634311889615,0.15449942648410797,0.11264681071043015,0.16830135881900787,0.16075845062732697,0.13134261965751648
634713d2103349a28b1bd72e_p01,634713d2103349a28b1bd72e,CrEuAlSbO6,634713d2103349a28b1bd72b,development,high_uncertainty,parent_reference,original,original,original,original,Cm,step4/candidates/634713d2103349a28b1bd72e_p01.cif,0.33434346318244934,0.07038648426532745,0.324645,176.28470515117098,0.6496020542349424,1.9288980969254144,0.05292462744481672,1.875831966532011,0.3374481797218323,0.3927328586578369,0.41425907611846924,0.2610686719417572,0.2662085294723511
634713d2103349a28b1bd72e_p07,634713d2103349a28b1bd72e,CrEuAlSbO6,634713d2103349a28b1bd72b,development,high_uncertainty,gnn_lowest_energy,a-a-c+,6.0,rocksalt,rocksalt,Pc,step4/candidates/634713d2103349a28b1bd72e_p07.cif,0.25106506049633026,0.01404562033712864,0.324645,163.24273266697273,0.02142787492286546,1.9486523964333191,0.0012588347068171132,1.9463981309961327,0.2618514597415924,0.22761264443397522,0.24873273074626923,0.2601199746131897,0.25700849294662476
634713d2103349a28b1bd72e_p11,634713d2103349a28b1bd72e,CrEuAlSbO6,634713d2103349a28b1bd72b,development,high_uncertainty,gnn_highest_uncertainty,a0a0a0_ordering_control,0.0,layered,rocksalt,P4/nmm,step4/candidates/634713d2103349a28b1bd72e_p11.cif,0.4273770093917847,0.05716678500175476,0.324645,180.0,0.0,1.9278538970813983,0.0,1.9278538970813983,0.4934043884277344,0.4605036675930023,0.43793055415153503,0.3452659249305725,0.3997805118560791
