structure_id,shard,offset,name,md5
63470c06660f1387211b9297,dataset/raw/structures/004f660105b0e21730b3ad43b5aa903d.json.gz,7,spuds_structure,24e4ed83bd341f3fd174964821607b8e
634d9263d6d16c71eb0d5af4,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,0,spuds_structure,bd47c5a52dda8e9c86f3959ba401c6d6
634d9263d6d16c71eb0d5af6,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,1,spuds_structure,781f9a3797f5bc258dd98c9e712e6996
634d926449b0ce94eb0d68ec,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,2,spuds_structure,5b30cf10670d9af0279ada5895403ea7
634d926449b0ce94eb0d68ed,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,3,spuds_structure,d035585a007064f96d6aa2304fe332ef
634d926449b0ce94eb0d68ee,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,4,spuds_structure,c39074eb9ad17889d135267c23653934
634d926449b0ce94eb0d68f2,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,5,spuds_structure,d3a6e273652fca4652d85f0424c2d0bf
634d9264d6d16c71eb0d5af8,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,6,spuds_structure,4f16ed666b9f6ac9dd1f622defd38b88
634d9264d6d16c71eb0d5afa,dataset/raw/structures/0058a588ba1681ba948a63cd8aae065e.json.gz,7,spuds_structure,f32f950dd1439b9c2ce8fa8eeafa04a1
634d94d449b0ce94eb0d814a,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,0,spuds_structure,5fb133c551d12c72b8629f963a72541d
634d94d449b0ce94eb0d814e,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,1,spuds_structure,4ab48f64a2f6af7c8928918fc35ca9fa
634d94d449b0ce94eb0d814f,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,2,spuds_structure,7c96cacaa0cdee9c3660045ac209a2d5
634d94d449b0ce94eb0d8150,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,3,spuds_structure,be8b91a95f606c8756c681dd15abc9e9
634d94d449b0ce94eb0d8153,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,4,spuds_structure,966f0606cafff40d037cd58296109b49
634d94d449b0ce94eb0d8155,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,5,spuds_structure,5e1accdc79ccd4ae6b0891238d7e5ed7
634d94d449b0ce94eb0d8156,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,6,spuds_structure,77b70b2e0bc3e66671cc27689d3aa329
634d94d4d6d16c71eb0d6826,dataset/raw/structures/0067c5d8ba88065802b52fcec6efb817.json.gz,7,spuds_structure,e5a0dee799f3fbb763c17eccac903e32
63470f5a660f1387211baa6f,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,0,spuds_structure,56a919625e3d556a7781a2ade1c68fd2
63470f5a660f1387211baa72,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,1,spuds_structure,efafe87f7570cf6e189e0296b1986d40
63470f5a660f1387211baa73,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,2,spuds_structure,1bc78379b70e5eec8b888aadfa8de274
63470f5a660f1387211baa76,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,3,spuds_structure,a535b19f7a3950217a03949cd9bf6da0
63470f5a660f1387211baa77,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,4,spuds_structure,1c449829b0826e85700cefd1f3360f2b
63470f5b103349a28b1bb11f,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,5,spuds_structure,d415229924616042017c7d8eee8b9524
63470f5b103349a28b1bb121,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,6,spuds_structure,df5e613e0a7a0fbaf155ce7a132bda36
63470f5b103349a28b1bb123,dataset/raw/structures/007ff5a6222785db51a79691c0f2ce50.json.gz,7,spuds_structure,d24a904e7f7c6f6324ac874e84c2d3da
63470eb8660f1387211ba60b,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,0,spuds_structure,9e60efba02f2d661f60bdc0ea3aaba5c
63470eb8660f1387211ba60d,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,1,spuds_structure,e041f56fae885569a91305cf07ee630d
63470eb8660f1387211ba60f,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,2,spuds_structure,6e67aecbfc45230c0268eaa8503d4cfc
63470eb8660f1387211ba612,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,3,spuds_structure,b0fdf78c012a6720d8f0e5b6241c08af
63470eb9103349a28b1baca6,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,4,spuds_structure,4c24bbe7ad1b0e1dafd48d344251ad79
63470eb9103349a28b1baca7,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,5,spuds_structure,6c8648b223aaa1e58ed6f5aa0f45de55
63470eb9103349a28b1bacaa,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,6,spuds_structure,dc76e491b404feba3adbe2d65e525126
63470eb9103349a28b1bacab,dataset/raw/structures/009c6fa6b8556028b51295e1310b19c2.json.gz,7,spuds_structure,bdfb782541a60be3affa41a47299c62a
634d939949b0ce94eb0d7474,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,0,spuds_structure,2f6495d4e0f9f5ffb669194dd0db65b4
634d939949b0ce94eb0d7475,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,1,spuds_structure,f79355a60eaecc9cd120246249cc7cc7
634d939949b0ce94eb0d7476,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,2,spuds_structure,02721eacbd50d3ae67d8567d71ca78f8
634d9399d6d16c71eb0d635c,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,3,spuds_structure,f85509829c35a35b37f452ba7d4fc767
634d9399d6d16c71eb0d635e,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,4,spuds_structure,d7512510d9c1be5cb538c4c042ad338e
634d939a49b0ce94eb0d7479,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,5,spuds_structure,31ac65e7f9f2a79946af16bfcf7103ab
634d939a49b0ce94eb0d747b,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,6,spuds_structure,455b3f7921a96adbb5ee64db2589dfda
634d939a49b0ce94eb0d747c,dataset/raw/structures/009ff16ed530b55e42291c689bf4d7b0.json.gz,7,spuds_structure,a8749061d6a83e08fe74f645caaf891a
634d956249b0ce94eb0d874a,dataset/raw/structures/00a324b9f36d03f7751cb86844f484bf.json.gz,0,spuds_structure,9c546f979a20e203671305fb2c296b6d
634d956249b0ce94eb0d874b,dataset/raw/structures/00a324b9f36d03f7751cb86844f484bf.json.gz,1,spuds_structure,3e09352728a0d3eb94ba866753ca6151
